Word,Frequency
základné,338
študent,329
predmetu,319
ich,254
vie,221
absolvovaní,181
cvičenia,169
základy,165
funkcie,151
pozná,133
metódy,133
prednášky,129
dát,126
riešenie,124
dokáže,117
riešení,115
úloh,114
vlastnosti,111
úvod,107
jazyku,104
d,103
systému,98
analýza,94
funkcií,93
cvičení,92
systémov,92
vo,88
aplikovať,88
štúdiom,87
aplikácie,87
práce,86
príprava,85
prednášok,84
študentov,83
sietí,83
teórie,82
vedomosti,82
práca,81
podniku,81
pomocou,79
techniky,78
vybraných,78
riešenia,76
získa,75
tvorba,74
princípy,73
podľa,73
problémov,72
využitie,71
sú,71
praktické,71
vytváranie,69
jej,68
tvorby,66
zručností,65
c,65
úlohy,63
prostredí,63
základných,62
pravdepodobnosti,62
pojmy,61
prezentácie,61
programovania,60
štruktúry,59
zdokonaľovanie,58
jednotlivých,57
rozvoj,57
systémy,56
rôznych,56
duševného,56
modelovanie,56
osobnosti,55
jeho,55
reálnych,55
metóda,54
oblasti,54
využitím,54
projektu,53
nástroje,53
uniza,53
prostredníctvom,53
kompenzácia,53
zaťaženia,53
súvisiaceho,53
vysokoškolským,53
podmienok,53
všestranný,53
psychofyzický,53
konfigurácia,53
vhodné,52
budú,52
činnosti,50
študenti,49
model,49
and,49
úrovni,48
používa,47
náplňou,47
obsahovou,46
taktiky,46
princíp,46
praxi,45
operácie,45
rozumie,45
správa,45
medzi,45
základná,45
pohybová,45
technológie,45
systém,45
nácvik,45
operačného,45
športoch,44
modely,44
algoritmy,43
objektov,43
premenných,43
podnikateľského,43
štruktúra,43
analýzy,43
obsah,42
ovláda,42
premennej,42
prvky,42
návrhu,42
aplikácií,42
cudzom,42
sql,42
príkladov,41
grafov,41
spoločnosti,41
komunikácie,41
modelov,41
použitie,40
metód,40
typy,40
zhodné,40
zameraný,40
znalosti,40
vedieť,40
sociálna,40
tézy,39
príkazy,39
procesov,38
ktoré,38
schopný,38
triedy,38
riadenie,38
testy,38
skončení,37
rovníc,37
praxe,37
proces,37
rozlišuje,36
definícia,36
štúdia,36
rozdelenie,36
technických,35
i,35
laboratórne,35
rady,35
vzťah,35
ap,35
analyzovať,35
grammar,35
údajov,34
výpočet,34
kódu,34
súťaže,34
podnikových,34
možnosti,34
témy,33
derivácia,33
odborných,33
sr,32
poznatky,32
lineárnych,32
jednoduché,32
praktických,32
sieťach,32
parametrov,32
of,32
manažmentu,32
čísla,31
pokročilé,31
číselné,31
spôsobu,31
telovýchovných,31
napr,31
princípom,31
tabuľky,31
linux,31
zásobu,31
testovanie,30
vybrané,30
informácií,30
tvorbu,30
výber,30
informačné,30
rozhrania,30
komunikácia,30
až,30
slovnú,30
polia,29
lineárna,29
absolvovaním,29
rovnice,29
prostredia,29
návrh,29
význam,29
jazyka,29
lineárne,28
algoritmov,28
správne,28
predmete,28
tried,28
aktivít,28
siete,28
vytvoriť,28
používané,28
prístupu,28
navrhnúť,28
vytvárať,28
tvorbe,28
systéme,27
výkonnosti,27
množiny,27
postupnosti,27
prácu,27
príklady,27
základe,27
pravdepodobnosť,27
funkcia,27
podnikania,27
zariadení,27
sieťové,27
služby,27
vedomostí,27
realizácia,27
požiadaviek,27
spôsoby,27
príkaz,26
manažment,26
času,26
pravidlá,26
pohľadu,26
lan,26
matematická,26
definovanie,26
problémy,26
študijného,26
odboru,26
odborné,26
the,26
ict,26
informatika,25
predmet,25
analýzu,25
aktuálne,25
vybranom,25
špeciálna,25
náhodnej,25
získané,25
teória,25
internet,25
poznať,25
zariadenia,25
protokoly,25
navrhne,25
programovanie,25
odbornú,25
matice,24
matematických,24
využiť,24
matematické,24
premenné,24
objekty,24
zručnosti,24
práva,24
športových,24
výpočtovej,24
protokolov,24
os,24
používať,24
schopnosť,24
trhu,23
komplexné,23
špeciálne,23
trendy,23
vedenie,23
voľného,23
všeobecnej,23
športové,23
ip,23
adries,23
bezpečnosti,23
derivácie,23
spracovanie,23
procesu,23
ms,23
komponentov,23
rôzne,22
základný,22
správy,22
prístup,22
cielené,22
zdravému,22
života,22
trávenia,22
hry,22
športovom,22
odvetví,22
zvyšovanie,22
telesnej,22
zdatnosti,22
pohybovej,22
všeobecná,22
reprezentáciu,22
národnej,22
medzinárodnej,22
test,22
náklady,22
potrebné,22
bezpečnosť,22
teoretické,22
modelu,22
zdroje,22
zásady,22
rozsahu,22
uml,22
vzťahy,21
uplatňuje,21
argumentácie,21
trh,21
prehľad,21
projektov,21
overenie,21
stavov,21
využíva,21
postupy,21
architektúra,21
radov,21
limita,21
časti,21
select,21
nápadu,21
inštrukcie,21
tímovej,20
parciálne,20
vlastné,20
trieda,20
oblastí,20
zapúzdrenia,20
smerovanie,20
sieťových,20
windows,20
identifikovať,20
integrál,20
tlač,20
svojich,20
prostriedky,20
navrhovať,20
informácie,20
riadenia,20
sociológie,20
bmc,20
typov,20
informatiky,19
efektívnej,19
organizácia,19
rozdelenia,19
diskrétna,19
sieti,19
dedičnosť,19
prostredie,19
polymorfizmus,19
komunikačné,19
pc,19
samostatne,19
podstatu,19
rozhodovanie,19
vypracovanie,19
marketingu,19
softvéru,19
vplyv,19
dokumentu,19
súvislosti,18
ekonomických,18
štruktúr,18
priestoru,18
jednotlivé,18
overí,18
nezávislosť,18
informatike,18
reálne,18
aplikuje,18
cyklus,18
ladenie,18
programov,18
resp,18
sústavy,18
charakteristiky,18
činnosť,18
firmy,18
rozumieť,18
protokol,18
diagnostika,18
štatistika,18
štatistické,18
vysvetliť,18
lyžovanie,18
ferraty,18
teréne,18
jazdy,18
počtu,18
následne,18
viacerých,18
učiteľa,18
formy,18
práci,18
naučené,18
textom,18
odbornej,18
biznis,18
python,18
otvorených,18
geodát,18
osm,18
testovania,18
latexu,18
ekonomickej,17
úloha,17
modernej,17
tvorí,17
pracovať,17
reálnej,17
veta,17
princípov,17
plánu,17
počítačových,17
majetku,17
venované,17
viac,17
vrátane,17
prakticky,17
komponenty,17
vzťahu,17
spojitosť,17
vzorce,17
zmena,17
financií,17
organizácie,17
klasifikácia,17
ústnej,17
jazykové,17
popis,17
dynamické,17
digitálnych,17
prezentuje,16
spolupráce,16
štatistických,16
nimi,16
zobrazenie,16
odhady,16
objektu,16
zdrojov,16
študenta,16
zamerané,16
znalostí,16
algoritmus,16
výrazy,16
systémoch,16
skúsenosti,16
finančná,16
hospodárenia,16
popísať,16
vývoj,16
smerovacích,16
ukrývania,16
operačných,16
úpravy,16
extrémy,16
neurčitý,16
postup,16
počas,16
regresia,16
vzdelávania,16
vlastných,16
und,16
visual,16
nápadov,16
produktu,16
mien,16
dokumentov,16
dane,15
získaných,15
matíc,15
okruhy,15
matica,15
informatických,15
čísel,15
objektového,15
objektovej,15
príkazov,15
kompozícia,15
zoznamy,15
tíme,15
ohľadom,15
dokumentácie,15
cvičeniach,15
parametre,15
výpočty,15
výroba,15
literatúry,15
využitia,15
program,15
funkčnosť,15
konfigurovať,15
tlače,15
dáta,15
procesy,15
daní,15
aplikácia,15
pracovnom,15
suffixes,15
implementovať,15
hlavným,15
sociológia,15
iných,15
semestrálnej,15
web,15
simulácia,15
podnikové,15
qgis,15
údajových,15
obrázky,15
obrázkov,15
schopnosti,14
analýze,14
transformácia,14
zavedenie,14
lineárneho,14
prvkov,14
informačných,14
výsledky,14
náplň,14
prístupy,14
licencie,14
autorské,14
hodnoty,14
simulácie,14
majetková,14
dlhodobého,14
architektúry,14
komunikačných,14
technológia,14
sieťovej,14
počítačové,14
jednej,14
používateľského,14
skupiny,14
hľadiska,14
limity,14
popíše,14
spracovania,14
finančného,14
komunikácii,14
podnikateľských,14
písomnej,14
in,14
kontexte,14
is,14
podnikov,14
logických,14
javov,13
jednoduchých,13
rozpočet,13
sústava,13
algebry,13
algebraické,13
pojmu,13
vektory,13
programy,13
rámci,13
výstupov,13
právne,13
efektívne,13
semestra,13
pracujú,13
úspešne,13
problematiku,13
objektové,13
pole,13
základnú,13
počítači,13
reprezentácia,13
úlohu,13
plán,13
overiť,13
ipv,13
l,13
laboratóriu,13
dôsledky,13
rozhraním,13
riadok,13
pomenovať,13
zhodnotiť,13
sieťová,13
dodržiavanie,13
základným,13
vypočítať,13
konvergencia,13
derivácií,13
týchto,13
technické,13
pojmov,13
diferenciálnych,13
sociálne,13
hodnotenie,13
b,13
online,13
prác,13
tematických,13
okruhoch,13
príslušnú,13
akademickom,13
rozpoznáva,13
nahrávkach,13
výklade,13
inštruktážnych,13
videách,13
diskutuje,13
porozumieť,13
odborným,13
týkajúcim,13
zosumarizovať,13
zadaní,13
tabuliek,13
knižnice,13
dátový,13
jazyk,13
číslicových,13
hraníc,13
optimalizačné,13
špecifikácia,13
obvodov,13
testov,13
politika,12
poznatkov,12
pokročilých,12
vektorového,12
polynómy,12
determinantu,12
objektovo,12
atribúty,12
konštruktory,12
životný,12
postupnosť,12
asociácia,12
technológií,12
predmetov,12
nerovnice,12
prehĺbenie,12
pokrývajú,12
preťažovanie,12
literál,12
alternatívne,12
plánovania,12
programu,12
ošetrovanie,12
moderných,12
tieto,12
výnosy,12
veľkosti,12
internetu,12
ethernet,12
icmpv,12
náhodná,12
procesora,12
výnimiek,12
používanie,12
porovnať,12
ponuky,12
pomoci,12
založeného,12
integrály,12
spojitých,12
niektoré,12
určitý,12
aktívna,12
tlačiarni,12
realizáciu,12
diskusia,12
procesom,12
komplexnej,12
použiť,12
použitia,12
finančné,12
kapitálu,12
plánovanie,12
softvérové,12
žilina,12
business,12
tenses,12
tém,12
studio,12
geografických,12
geoserver,12
dml,12
skúsenosť,12
java,12
rastrových,12
office,12
libreoffice,12
latex,12
textov,12
kreslenie,12
sadzba,12
aritmetika,11
vektorov,11
závislosť,11
koncepty,11
počítanie,11
orientované,11
navrhnuté,11
súvislosť,11
dôrazom,11
údajové,11
náhodných,11
generiká,11
prezentácia,11
tcpip,11
mechanizmy,11
zabezpečenie,11
súborov,11
prevádzky,11
atď,11
premenná,11
reálna,11
grafického,11
operačný,11
open,11
source,11
vykonať,11
automatizácia,11
diferenciálneho,11
určitého,11
integrálu,11
druhov,11
spôsob,11
zákon,11
numerické,11
časových,11
charakteristika,11
druhy,11
kontrola,11
sociálnej,11
manažéra,11
marketing,11
kľúčové,11
nástrojov,11
populárnovedeckých,11
texty,11
parts,11
speech,11
collocations,11
countable,11
uncountable,11
nouns,11
história,11
myslenie,11
rozdiely,11
procedúry,11
problém,11
moduly,11
zamestnancov,11
identifikuje,10
fungovania,10
nájde,10
matematiky,10
aspekty,10
pokrýva,10
nasledujúce,10
alokácia,10
časová,10
riadiacich,10
logické,10
cykly,10
diskrétne,10
udalostí,10
hodnota,10
ďalšie,10
štruktúru,10
balíčkov,10
manažérske,10
majetok,10
sieť,10
typu,10
zabezpečenia,10
wifi,10
prideľovanie,10
dns,10
použitiu,10
zadanú,10
príkazový,10
forme,10
pohybu,10
grafickým,10
činností,10
služieb,10
kritérium,10
účasť,10
obsluhy,10
modelovania,10
vstavaných,10
pripojenie,10
podsystém,10
komplexných,10
účtovníctva,10
účtovné,10
finančný,10
podporu,10
it,10
kvality,10
výpočtové,10
rovine,10
výrazov,10
vybranú,10
university,10
presentations,10
prefixes,10
numbers,10
graphs,10
sociologického,10
myslenia,10
poznania,10
kultúra,10
život,10
koncepčné,10
prednesenie,10
diskusie,10
e,10
fx,10
dobre,10
mať,10
odovzdávanie,10
pamäti,10
implicitné,10
agregácia,10
virtuálne,10
svoje,10
zadanej,10
prieskum,10
možné,10
textu,10
manažmente,10
terminológiu,9
ekonomické,9
výrobné,9
faktory,9
makroekonomické,9
peniaze,9
maticami,9
vznik,9
spolupráca,9
konkrétne,9
databázami,9
distribuovaných,9
zvládnuť,9
objektový,9
charakterizuje,9
typ,9
nástroja,9
náhodného,9
náhodné,9
pravdepodobností,9
pdf,9
grafy,9
používateľské,9
výnimky,9
podmienky,9
trhovom,9
vlastníctva,9
výsledok,9
podnikateľský,9
častí,9
ktorých,9
kruh,9
súvisiace,9
hrozieb,9
zručnosťami,9
absolvovanie,9
podpora,9
použitím,9
linuxu,9
regulárne,9
odstraňovanie,9
lyžiarskej,9
negramotnosti,9
pozitívneho,9
pobytu,9
prírode,9
ochrane,9
zimných,9
letných,9
sústredení,9
zamerania,9
zjazdové,9
snowboarding,9
bežecké,9
splavovanie,9
kanoistika,9
rafting,9
cykloturistika,9
turistika,9
lyžiarských,9
carvingovej,9
lyžovania,9
lyžiarske,9
bežeckom,9
lyžovaní,9
vodáckych,9
raftingových,9
záchrany,9
topiaceho,9
poskytnutia,9
prvej,9
zaistených,9
horských,9
cestách,9
mapou,9
buzolou,9
vysokohorskom,9
horskom,9
bicykli,9
skupine,9
riadku,9
automatizáciu,9
môcť,9
účelne,9
nekonečnom,9
existencie,9
tlačiarne,9
realizovať,9
vybavenie,9
generovanie,9
navrhnutého,9
veličín,9
nové,9
zmeny,9
obyčajných,9
dr,9
grafická,9
ldr,9
trendov,9
financiách,9
financovania,9
riziko,9
politiky,9
verejných,9
eú,9
daňový,9
riešiť,9
priame,9
dôraz,9
kladený,9
tému,9
dodržaním,9
zásad,9
témam,9
rozhodnutia,9
hlavné,9
manipulácia,9
softvérového,9
makroekonomických,9
insert,9
update,9
delete,9
automatu,9
binárny,9
vhdl,9
symbolických,9
strojového,9
segmentácia,9
dynamických,9
jednorozmerná,9
hlavných,9
viacrozmerných,9
cieľom,9
technologické,9
interaktívne,9
najmä,9
vektorových,9
lekári,9
tabuľka,9
čas,9
net,9
wan,9
vba,9
stabilita,9
