code,count,grade_A,grade_B,grade_C,grade_D,grade_E,grade_FX,average_grade
6BM0027,248,21.37,13.31,29.84,18.55,12.10,4.84,2.0305
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BA0002,244,15.98,15.57,18.44,19.26,24.59,6.15,2.22735
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BL0001,215,4.65,5.58,19.07,35.35,33.95,1.40,2.46985
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BI0051,97,35.05,25.77,9.28,17.53,4.12,8.25,1.8144999999999998
6BF0001,26,15.38,3.85,30.77,11.54,38.46,0.00,2.26925
6BA0007,64,34.38,20.31,10.94,9.38,17.19,7.81,1.92985
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BA0015,52,1.92,7.69,15.38,17.31,42.31,15.38,2.7594
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BM0027,248,21.37,13.31,29.84,18.55,12.10,4.84,2.0305
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BA0002,244,15.98,15.57,18.44,19.26,24.59,6.15,2.22735
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BL0001,215,4.65,5.58,19.07,35.35,33.95,1.40,2.46985
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BH0003,384,15.89,24.22,33.59,17.19,8.85,0.26,1.89965
6BA0001,396,10.35,7.58,12.63,18.69,25.76,25.00,2.7098500000000003
6BA0009,314,7.64,15.92,20.70,23.89,19.75,12.10,2.4029499999999997
6BI0011,516,3.10,7.36,6.98,14.34,19.19,49.03,3.1764000000000006
6BA0012,223,54.71,16.14,11.21,4.93,11.21,1.79,1.54455
6BI0032,93,32.26,29.03,17.20,12.90,8.60,0.00,1.68255
6BT0001,206,97.09,1.46,0.00,0.97,0.49,0.00,1.03175
6BA0005,278,6.12,15.47,29.14,19.42,13.67,16.19,2.41925
6BI0012,295,4.07,10.51,17.63,15.93,20.00,31.86,2.8236000000000003
6BI0034,297,5.05,11.11,20.88,22.90,36.03,4.04,2.44975
6BI0046,126,6.35,11.11,11.90,20.63,12.70,37.30,2.8569
6BA0013,45,46.67,20.00,11.11,15.56,4.44,2.22,1.5999
6BI0033,132,46.97,25.76,17.42,6.06,2.27,1.52,1.4849
6BI0018,278,82.01,14.39,2.88,0.72,0.00,0.00,1.11155
6BT0002,212,92.92,2.36,0.47,1.89,0.47,1.89,1.1109499999999999
6BT0007,88,79.55,0.00,0.00,0.00,0.00,20.45,1.6135
6UM0001,88,15.91,12.50,30.68,3.41,32.95,4.55,2.21595
6UM0007,88,13.64,17.05,19.32,35.23,11.36,3.41,2.1365
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BU0001,80,2.50,20.00,27.50,17.50,32.50,0.00,2.2875
6BM0012,52,30.77,50.00,11.54,1.92,5.77,0.00,1.5096
6UM0004,41,17.07,14.63,21.95,24.39,12.20,9.76,2.1953
6BM0002,10,10.00,20.00,40.00,20.00,0.00,10.00,2.1
6BM0018,36,25.00,36.11,19.44,8.33,0.00,11.11,1.8331
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BJ0007,6,0.00,16.67,16.67,33.33,0.00,33.33,2.7499000000000002
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0014,91,10.99,13.19,20.88,20.88,17.58,16.48,2.43395
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BM0006,78,5.13,11.54,19.23,16.67,28.21,19.23,2.64125
6BI0038,182,4.40,4.40,13.74,26.37,43.96,7.14,2.6484499999999995
6UM0002,28,3.57,10.71,17.86,17.86,28.57,21.43,2.71435
6BM0004,24,41.67,4.17,16.67,8.33,12.50,16.67,2.0627
6BI0047,0,0,0,0,0,0,0,0.0
6BM0025,54,33.33,42.59,18.52,1.85,3.70,0.00,1.4998000000000002
6BM0024,23,26.09,52.17,17.39,4.35,0.00,0.00,1.5
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BJ0008,3,33.33,0.00,33.33,0.00,33.33,0.00,1.9997999999999998
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6BI0057,23,60.87,8.70,13.04,4.35,4.35,8.70,1.58725
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BI0019,216,30.56,18.06,21.30,12.04,17.13,0.93,1.8546
6BI0039,184,22.83,12.50,17.39,11.96,25.00,10.33,2.2258
6BI0013,282,28.72,13.12,15.96,21.28,20.57,0.35,1.9663
6BI0003,180,8.33,17.22,36.11,24.44,5.56,8.33,2.1748
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BI0026,130,12.31,13.85,20.00,25.38,23.08,5.38,2.27295
6UI0005,86,6.98,17.44,30.23,29.07,10.47,5.81,2.20925
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0003,33,69.70,18.18,0.00,3.03,0.00,9.09,1.40905
6BM0019,69,24.64,28.99,13.04,7.25,17.39,8.70,1.993
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BI0007,183,90.71,6.56,2.73,0.00,0.00,0.00,1.0600999999999998
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BI0045,56,66.07,17.86,3.57,7.14,3.57,1.79,1.3572
6BI0023,24,75.00,20.83,0.00,0.00,4.17,0.00,1.1875499999999999
6BA0004,153,7.84,5.88,20.26,22.22,10.46,33.33,2.7743
6UA0002,260,11.54,3.46,11.15,17.69,41.54,14.62,2.6635500000000003
6BI0005,219,4.57,9.13,57.99,16.44,6.85,5.02,2.15975
6UI0004,221,12.67,22.17,21.27,24.43,8.14,11.31,2.192
6BA0007,64,34.38,20.31,10.94,9.38,17.19,7.81,1.92985
6BI0038,182,4.40,4.40,13.74,26.37,43.96,7.14,2.6484499999999995
6BI0048,122,19.67,11.48,8.20,15.57,10.66,34.43,2.6191500000000003
6BI0016,136,6.62,25.00,23.53,17.65,8.82,18.38,2.35285
6BI0027,101,25.74,15.84,15.84,15.84,23.76,2.97,2.0394
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6UI0002,23,21.74,8.70,13.04,21.74,34.78,0.00,2.1956
6BA0011,11,18.18,45.45,27.27,9.09,0.00,0.00,1.6362
6UM0002,28,3.57,10.71,17.86,17.86,28.57,21.43,2.71435
6BM0020,55,25.45,23.64,25.45,7.27,9.09,9.09,1.93615
6BI0041,30,23.33,3.33,16.67,23.33,33.33,0.00,2.1997999999999998
6BI0021,0,0,0,0,0,0,0,0.0
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BI0024,16,62.50,12.50,12.50,6.25,6.25,0.00,1.40625
6UI0006,70,67.14,18.57,7.14,1.43,1.43,4.29,1.3430000000000002
6BE0002,15,6.67,26.67,0.00,13.33,53.33,0.00,2.3999
6BI0039,184,22.83,12.50,17.39,11.96,25.00,10.33,2.2258
6UI0009,19,10.53,15.79,10.53,21.05,26.32,15.79,2.5002
6BI0022,15,13.33,26.67,20.00,13.33,26.67,0.00,2.0667
6BI0019,216,30.56,18.06,21.30,12.04,17.13,0.93,1.8546
6BM0027,248,21.37,13.31,29.84,18.55,12.10,4.84,2.0305
6BA0008,13,23.08,7.69,15.38,7.69,38.46,7.69,2.3074
6BI0013,282,28.72,13.12,15.96,21.28,20.57,0.35,1.9663
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0019,69,24.64,28.99,13.04,7.25,17.39,8.70,1.993
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BI0026,130,12.31,13.85,20.00,25.38,23.08,5.38,2.27295
6BI0023,24,75.00,20.83,0.00,0.00,4.17,0.00,1.1875499999999999
6UA0002,260,11.54,3.46,11.15,17.69,41.54,14.62,2.6635500000000003
6BI0020,15,20.00,26.67,26.67,13.33,13.33,0.00,1.8666000000000003
6BI0008,15,20.00,26.67,13.33,13.33,26.67,0.00,2.0
6BI0043,15,0.00,6.67,26.67,20.00,46.67,0.00,2.53355
6BL0001,215,4.65,5.58,19.07,35.35,33.95,1.40,2.46985
6BI0036,9,0.00,44.44,22.22,22.22,11.11,0.00,1.9997999999999998
6BI0005,219,4.57,9.13,57.99,16.44,6.85,5.02,2.15975
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6BA0011,11,18.18,45.45,27.27,9.09,0.00,0.00,1.6362
6BM0020,55,25.45,23.64,25.45,7.27,9.09,9.09,1.93615
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BI0027,101,25.74,15.84,15.84,15.84,23.76,2.97,2.0394
6BI0024,16,62.50,12.50,12.50,6.25,6.25,0.00,1.40625
6UI0006,70,67.14,18.57,7.14,1.43,1.43,4.29,1.3430000000000002
6UM0008,186,18.82,13.98,27.96,21.51,4.84,12.90,2.15605
6BA0006,311,8.68,5.47,11.58,15.11,49.20,9.97,2.653
6BI0013,282,28.72,13.12,15.96,21.28,20.57,0.35,1.9663
6BA0010,89,2.25,5.62,14.61,39.33,19.10,19.10,2.71925
6UM0001,88,15.91,12.50,30.68,3.41,32.95,4.55,2.21595
6UM0007,88,13.64,17.05,19.32,35.23,11.36,3.41,2.1365
6BI0019,216,30.56,18.06,21.30,12.04,17.13,0.93,1.8546
6BI0039,184,22.83,12.50,17.39,11.96,25.00,10.33,2.2258
6BM0007,139,15.83,37.41,28.06,6.47,2.16,10.07,1.91
6UI0005,86,6.98,17.44,30.23,29.07,10.47,5.81,2.20925
6BI0003,180,8.33,17.22,36.11,24.44,5.56,8.33,2.1748
6BM0029,0,0,0,0,0,0,0,0.0
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BM0003,33,69.70,18.18,0.00,3.03,0.00,9.09,1.40905
6BM0019,69,24.64,28.99,13.04,7.25,17.39,8.70,1.993
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BI0007,183,90.71,6.56,2.73,0.00,0.00,0.00,1.0600999999999998
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BI0045,56,66.07,17.86,3.57,7.14,3.57,1.79,1.3572
6BI0023,24,75.00,20.83,0.00,0.00,4.17,0.00,1.1875499999999999
6UM0004,41,17.07,14.63,21.95,24.39,12.20,9.76,2.1953
6UA0002,260,11.54,3.46,11.15,17.69,41.54,14.62,2.6635500000000003
6BI0005,219,4.57,9.13,57.99,16.44,6.85,5.02,2.15975
6BI0038,182,4.40,4.40,13.74,26.37,43.96,7.14,2.6484499999999995
6BA0004,153,7.84,5.88,20.26,22.22,10.46,33.33,2.7743
6BM0014,91,10.99,13.19,20.88,20.88,17.58,16.48,2.43395
6BM0017,91,14.29,9.89,18.68,30.77,16.48,9.89,2.3241
6BM0011,123,12.20,17.89,24.39,26.83,9.76,8.94,2.1992999999999996
6BA0007,64,34.38,20.31,10.94,9.38,17.19,7.81,1.92985
6BI0048,122,19.67,11.48,8.20,15.57,10.66,34.43,2.6191500000000003
6UI0004,221,12.67,22.17,21.27,24.43,8.14,11.31,2.192
6UI0002,23,21.74,8.70,13.04,21.74,34.78,0.00,2.1956
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6BA0011,11,18.18,45.45,27.27,9.09,0.00,0.00,1.6362
6UM0002,28,3.57,10.71,17.86,17.86,28.57,21.43,2.71435
6BM0020,55,25.45,23.64,25.45,7.27,9.09,9.09,1.93615
6BI0041,30,23.33,3.33,16.67,23.33,33.33,0.00,2.1997999999999998
6BI0021,0,0,0,0,0,0,0,0.0
6BI0016,136,6.62,25.00,23.53,17.65,8.82,18.38,2.35285
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BI0024,16,62.50,12.50,12.50,6.25,6.25,0.00,1.40625
6UI0006,70,67.14,18.57,7.14,1.43,1.43,4.29,1.3430000000000002
6BE0004,85,28.24,17.65,23.53,9.41,21.18,0.00,1.8884
6BI0013,282,28.72,13.12,15.96,21.28,20.57,0.35,1.9663
6BI0037,84,76.19,2.38,5.95,7.14,7.14,1.19,1.3569
6BI0026,130,12.31,13.85,20.00,25.38,23.08,5.38,2.27295
6BI0001,341,27.57,19.94,17.01,15.25,19.06,1.17,1.9148500000000002
6BM0019,69,24.64,28.99,13.04,7.25,17.39,8.70,1.993
6BA0014,57,28.07,54.39,15.79,0.00,1.75,0.00,1.4648500000000002
6BI0007,183,90.71,6.56,2.73,0.00,0.00,0.00,1.0600999999999998
6BT0003,216,99.07,0.00,0.46,0.46,0.00,0.00,1.0113999999999999
6BT0008,15,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BI0045,56,66.07,17.86,3.57,7.14,3.57,1.79,1.3572
6UI0005,86,6.98,17.44,30.23,29.07,10.47,5.81,2.20925
6BJ0005,239,5.44,25.52,32.64,24.27,8.37,3.77,2.09865
6BJ0007,6,0.00,16.67,16.67,33.33,0.00,33.33,2.7499000000000002
6BE0001,78,25.64,12.82,17.95,17.95,24.36,1.28,2.03845
6BI0027,101,25.74,15.84,15.84,15.84,23.76,2.97,2.0394
6BI0053,83,19.28,21.69,30.12,19.28,4.82,4.82,1.93995
6UI0004,221,12.67,22.17,21.27,24.43,8.14,11.31,2.192
6BA0002,244,15.98,15.57,18.44,19.26,24.59,6.15,2.22735
6BI0005,219,4.57,9.13,57.99,16.44,6.85,5.02,2.15975
6BI0051,97,35.05,25.77,9.28,17.53,4.12,8.25,1.8144999999999998
6BM0020,55,25.45,23.64,25.45,7.27,9.09,9.09,1.93615
6BI0041,30,23.33,3.33,16.67,23.33,33.33,0.00,2.1997999999999998
6BI0021,0,0,0,0,0,0,0,0.0
6BI0016,136,6.62,25.00,23.53,17.65,8.82,18.38,2.35285
6BT0004,197,98.48,0.51,0.00,0.00,0.51,0.51,1.02815
6BH0002,90,33.33,33.33,18.89,5.56,5.56,3.33,1.65005
6BJ0006,203,9.36,20.20,32.02,27.09,8.87,2.46,2.07875
6BJ0008,3,33.33,0.00,33.33,0.00,33.33,0.00,1.9997999999999998
6BM0021,79,11.39,40.51,24.05,20.25,2.53,1.27,1.8355000000000001
6BM0028,80,6.25,18.75,31.25,23.75,16.25,3.75,2.2
6BM0022,81,56.79,22.22,16.05,3.70,0.00,1.23,1.3639
6UI0001,84,0.00,2.38,8.33,22.62,51.19,15.48,2.9227
6BJ0003,79,40.51,30.38,17.72,5.06,3.80,2.53,1.5569
6BM0001,36,50.00,22.22,22.22,5.56,0.00,0.00,1.4166999999999998
6UM0003,21,4.76,14.29,52.38,23.81,0.00,4.76,2.0952
6BI0055,123,11.38,14.63,25.20,26.83,8.94,13.01,2.2965999999999998
6BI0006,0,0,0,0,0,0,0,0.0
6BT0005,150,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BA0017,0,0,0,0,0,0,0,0.0
6BI0040,77,16.88,7.79,18.18,40.26,16.88,0.00,2.16215
6BX0001,334,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BZ0001,287,45.99,30.31,14.98,5.23,3.48,0.00,1.4493
6BJ0004,77,51.95,31.17,12.99,2.60,1.30,0.00,1.35085
6BM0010,63,31.75,28.57,19.05,7.94,4.76,7.94,1.78595
6BT0006,130,99.23,0.77,0.00,0.00,0.00,0.00,1.0038500000000001
6BI0035,155,3.87,14.19,34.19,30.32,13.55,3.87,2.25465
6UA0003,183,10.93,22.40,30.05,21.86,12.02,2.73,2.0625999999999998
6UI0012,130,5.38,4.62,21.54,30.00,36.92,1.54,2.4731
6UI0010,318,7.23,11.64,33.02,27.04,16.04,5.03,2.2657
6BJ0001,269,21.93,33.83,27.51,15.24,1.49,0.00,1.7026500000000002
6UA0001,98,14.29,12.24,15.31,17.35,32.65,8.16,2.37235
6BA0010,89,2.25,5.62,14.61,39.33,19.10,19.10,2.71925
6BI0028,68,8.82,20.59,35.29,16.18,19.12,0.00,2.08095
6BI0037,84,76.19,2.38,5.95,7.14,7.14,1.19,1.3569
6BM0029,0,0,0,0,0,0,0,0.0
6UM0007,88,13.64,17.05,19.32,35.23,11.36,3.41,2.1365
6BA0008,13,23.08,7.69,15.38,7.69,38.46,7.69,2.3074
6BI0040,77,16.88,7.79,18.18,40.26,16.88,0.00,2.16215
6BI0054,8,50.00,37.50,12.50,0.00,0.00,0.00,1.3125
6BI0042,12,33.33,16.67,8.33,8.33,16.67,16.67,2.1251
6BI0055,123,11.38,14.63,25.20,26.83,8.94,13.01,2.2965999999999998
6BT0005,150,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BI0052,31,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6UM0004,41,17.07,14.63,21.95,24.39,12.20,9.76,2.1953
6UI0007,128,99.22,0.00,0.78,0.00,0.00,0.00,1.0078
6BJ0002,263,35.36,36.50,20.53,4.94,1.52,1.14,1.5264000000000002
6BX0001,334,100.00,0.00,0.00,0.00,0.00,0.00,1.0
6BZ0001,287,45.99,30.31,14.98,5.23,3.48,0.00,1.4493
6BA0003,0,0,0,0,0,0,0,0.0
6BI0050,14,14.29,28.57,0.00,7.14,0.00,50.00,2.74995
6BT0006,130,99.23,0.77,0.00,0.00,0.00,0.00,1.0038500000000001
6BI0009,19,73.68,21.05,0.00,5.26,0.00,0.00,1.18405
6BI0049,0,0,0,0,0,0,0,0.0
6UM0005,130,33.85,25.38,14.62,10.00,3.85,12.31,1.8695
