Word;Frequency;Relevant
základné;338;n
študent;329;n
predmetu;319;n
ich;254;n
vie;221;n
absolvovaní;181;n
cvičenia;169;n
základy;165;n
funkcie;151;n
pozná;133;n
metódy;133;n
prednášky;129;n
dát;126;y
riešenie;124;n
dokáže;117;n
riešení;115;n
úloh;114;n
vlastnosti;111;n
úvod;107;n
jazyku;104;n
d;103;n
systému;98;n
analýza;94;y
funkcií;93;n
cvičení;92;n
systémov;92;n
vo;88;n
aplikovať;88;n
štúdiom;87;n
aplikácie;87;n
práce;86;n
príprava;85;n
prednášok;84;n
študentov;83;n
sietí;83;y
teórie;82;n
vedomosti;82;n
práca;81;n
podniku;81;n
pomocou;79;n
techniky;78;n
vybraných;78;n
riešenia;76;n
získa;75;n
tvorba;74;n
princípy;73;n
podľa;73;n
problémov;72;n
využitie;71;n
sú;71;n
praktické;71;n
vytváranie;69;n
jej;68;n
tvorby;66;n
zručností;65;n
c;65;n
úlohy;63;n
prostredí;63;n
základných;62;n
pravdepodobnosti;62;y
pojmy;61;n
prezentácie;61;n
programovania;60;y
štruktúry;59;n
zdokonaľovanie;58;n
jednotlivých;57;n
rozvoj;57;n
systémy;56;y
rôznych;56;n
duševného;56;n
modelovanie;56;y
osobnosti;55;n
jeho;55;n
reálnych;55;n
metóda;54;n
oblasti;54;n
využitím;54;n
projektu;53;n
nástroje;53;n
uniza;53;n
prostredníctvom;53;n
kompenzácia;53;n
zaťaženia;53;n
súvisiaceho;53;n
vysokoškolským;53;n
podmienok;53;n
všestranný;53;n
psychofyzický;53;n
konfigurácia;53;n
vhodné;52;n
budú;52;n
činnosti;50;n
študenti;49;n
model;49;n
and;49;n
úrovni;48;n
používa;47;n
náplňou;47;n
obsahovou;46;n
taktiky;46;n
princíp;46;n
praxi;45;n
operácie;45;n
rozumie;45;n
správa;45;n
medzi;45;n
základná;45;n
pohybová;45;n
technológie;45;n
systém;45;n
nácvik;45;n
operačného;45;y
športoch;44;y
modely;44;n
algoritmy;43;y
objektov;43;n
premenných;43;n
podnikateľského;43;n
štruktúra;43;n
analýzy;43;n
obsah;42;n
ovláda;42;n
premennej;42;n
prvky;42;n
návrhu;42;n
aplikácií;42;y
cudzom;42;n
sql;42;y
príkladov;41;n
grafov;41;y
spoločnosti;41;n
komunikácie;41;y
modelov;41;n
použitie;40;n
metód;40;n
typy;40;n
zhodné;40;n
zameraný;40;n
znalosti;40;n
vedieť;40;n
sociálna;40;n
tézy;39;n
príkazy;39;n
procesov;38;n
ktoré;38;n
schopný;38;n
triedy;38;n
riadenie;38;n
testy;38;n
skončení;37;n
rovníc;37;y
praxe;37;n
proces;37;n
rozlišuje;36;n
definícia;36;n
štúdia;36;n
rozdelenie;36;n
technických;35;n
i;35;n
laboratórne;35;n
rady;35;n
vzťah;35;n
ap;35;n
analyzovať;35;y
grammar;35;n
údajov;34;n
výpočet;34;n
kódu;34;y
súťaže;34;n
podnikových;34;y
možnosti;34;n
témy;33;n
derivácia;33;y
odborných;33;n
sr;32;n
poznatky;32;n
lineárnych;32;y
jednoduché;32;n
praktických;32;n
sieťach;32;y
parametrov;32;n
of;32;n
manažmentu;32;y
čísla;31;n
pokročilé;31;n
číselné;31;n
spôsobu;31;n
telovýchovných;31;y
napr;31;n
princípom;31;n
tabuľky;31;y
linux;31;y
zásobu;31;n
testovanie;30;y
vybrané;30;n
informácií;30;n
tvorbu;30;n
výber;30;n
informačné;30;y
rozhrania;30;y
komunikácia;30;y
až;30;n
slovnú;30;n
polia;29;y
lineárna;29;y
absolvovaním;29;n
rovnice;29;y
prostredia;29;n
návrh;29;y
význam;29;n
jazyka;29;n
lineárne;28;y
algoritmov;28;y
správne;28;n
predmete;28;n
tried;28;n
aktivít;28;n
siete;28;y
vytvoriť;28;n
používané;28;n
prístupu;28;n
navrhnúť;28;y
vytvárať;28;n
tvorbe;28;n
systéme;27;y
výkonnosti;27;y
množiny;27;n
postupnosti;27;n
prácu;27;n
príklady;27;n
základe;27;n
pravdepodobnosť;27;y
funkcia;27;y
podnikania;27;y
zariadení;27;n
sieťové;27;y
služby;27;n
vedomostí;27;n
realizácia;27;n
požiadaviek;27;n
spôsoby;27;n
príkaz;26;n
manažment;26;y
času;26;n
pravidlá;26;n
pohľadu;26;n
lan;26;y
matematická;26;y
definovanie;26;n
problémy;26;n
študijného;26;n
odboru;26;n
odborné;26;n
the;26;n
ict;26;y
informatika;25;y
predmet;25;n
analýzu;25;y
aktuálne;25;n
vybranom;25;n
špeciálna;25;n
náhodnej;25;y
získané;25;n
teória;25;n
internet;25;y
poznať;25;n
zariadenia;25;y
protokoly;25;y
navrhne;25;n
programovanie;25;y
odbornú;25;n
matice;24;y
matematických;24;y
využiť;24;n
matematické;24;y
premenné;24;y
objekty;24;y
zručnosti;24;n
práva;24;n
športových;24;y
výpočtovej;24;y
protokolov;24;y
os;24;y
používať;24;n
schopnosť;24;n
trhu;23;n
komplexné;23;y
špeciálne;23;n
trendy;23;n
vedenie;23;n
voľného;23;n
všeobecnej;23;n
športové;23;y
ip;23;y
adries;23;y
bezpečnosti;23;y
derivácie;23;y
spracovanie;23;y
procesu;23;n
ms;23;y
komponentov;23;y
rôzne;22;n
základný;22;n
správy;22;y
prístup;22;n
cielené;22;n
zdravému;22;y
života;22;n
trávenia;22;n
hry;22;y
športovom;22;y
odvetví;22;n
zvyšovanie;22;n
telesnej;22;y
zdatnosti;22;n
pohybovej;22;y
všeobecná;22;n
reprezentáciu;22;n
národnej;22;n
medzinárodnej;22;n
test;22;n
náklady;22;n
potrebné;22;n
bezpečnosť;22;y
teoretické;22;n
modelu;22;n
zdroje;22;n
zásady;22;n
rozsahu;22;n
uml;22;y
vzťahy;21;n
uplatňuje;21;n
argumentácie;21;n
trh;21;n
prehľad;21;n
projektov;21;y
overenie;21;y
stavov;21;n
využíva;21;n
postupy;21;n
architektúra;21;y
radov;21;n
limita;21;y
časti;21;n
select;21;y
nápadu;21;n
inštrukcie;21;y
tímovej;20;y
parciálne;20;y
vlastné;20;n
trieda;20;n
oblastí;20;n
zapúzdrenia;20;y
smerovanie;20;n
sieťových;20;y
windows;20;y
identifikovať;20;n
integrál;20;y
tlač;20;y
svojich;20;n
prostriedky;20;n
navrhovať;20;y
informácie;20;y
riadenia;20;y
sociológie;20;y
bmc;20;y
typov;20;n
informatiky;19;y
efektívnej;19;n
organizácia;19;n
rozdelenia;19;n
diskrétna;19;y
sieti;19;y
dedičnosť;19;y
prostredie;19;n
polymorfizmus;19;y
komunikačné;19;y
pc;19;y
samostatne;19;n
podstatu;19;n
rozhodovanie;19;y
vypracovanie;19;n
marketingu;19;y
softvéru;19;y
vplyv;19;n
dokumentu;19;n
súvislosti;18;n
ekonomických;18;y
štruktúr;18;n
priestoru;18;n
jednotlivé;18;n
overí;18;n
nezávislosť;18;n
informatike;18;y
reálne;18;n
aplikuje;18;n
cyklus;18;y
ladenie;18;y
programov;18;n
resp;18;n
sústavy;18;n
charakteristiky;18;n
činnosť;18;n
firmy;18;n
rozumieť;18;n
protokol;18;y
diagnostika;18;y
štatistika;18;y
štatistické;18;y
vysvetliť;18;n
lyžovanie;18;y
ferraty;18;y
teréne;18;y
jazdy;18;y
počtu;18;n
následne;18;n
viacerých;18;n
učiteľa;18;n
formy;18;n
práci;18;n
naučené;18;n
textom;18;n
odbornej;18;n
biznis;18;y
python;18;y
otvorených;18;n
geodát;18;y
osm;18;y
testovania;18;y
latexu;18;y
ekonomickej;17;y
úloha;17;n
modernej;17;n
tvorí;17;n
pracovať;17;n
reálnej;17;n
veta;17;n
princípov;17;n
plánu;17;n
počítačových;17;y
majetku;17;n
venované;17;n
viac;17;n
vrátane;17;n
prakticky;17;n
komponenty;17;y
vzťahu;17;n
spojitosť;17;y
vzorce;17;y
zmena;17;n
financií;17;y
organizácie;17;n
klasifikácia;17;y
ústnej;17;n
jazykové;17;y
popis;17;n
dynamické;17;y
digitálnych;17;y
prezentuje;16;y
spolupráce;16;n
štatistických;16;y
nimi;16;n
zobrazenie;16;n
odhady;16;y
objektu;16;n
zdrojov;16;n
študenta;16;n
zamerané;16;n
znalostí;16;n
algoritmus;16;y
výrazy;16;n
systémoch;16;y
skúsenosti;16;n
finančná;16;y
hospodárenia;16;y
popísať;16;n
vývoj;16;n
smerovacích;16;y
ukrývania;16;n
operačných;16;y
úpravy;16;n
extrémy;16;y
neurčitý;16;n
postup;16;n
počas;16;n
regresia;16;y
vzdelávania;16;n
vlastných;16;n
und;16;n
visual;16;y
nápadov;16;n
produktu;16;n
mien;16;y
dokumentov;16;y
dane;15;y
získaných;15;n
matíc;15;y
okruhy;15;n
matica;15;y
informatických;15;y
čísel;15;y
objektového;15;y
objektovej;15;y
príkazov;15;y
kompozícia;15;n
zoznamy;15;n
tíme;15;y
ohľadom;15;n
dokumentácie;15;n
cvičeniach;15;n
parametre;15;n
výpočty;15;y
výroba;15;y
literatúry;15;y
využitia;15;n
program;15;y
funkčnosť;15;n
konfigurovať;15;n
tlače;15;y
dáta;15;y
procesy;15;y
daní;15;y
aplikácia;15;y
pracovnom;15;n
suffixes;15;y
implementovať;15;y
hlavným;15;n
sociológia;15;y
iných;15;n
semestrálnej;15;n
web;15;y
simulácia;15;y
podnikové;15;y
qgis;15;y
údajových;15;y
obrázky;15;n
obrázkov;15;n
schopnosti;14;n
analýze;14;y
transformácia;14;y
zavedenie;14;n
lineárneho;14;y
prvkov;14;n
informačných;14;y
výsledky;14;n
náplň;14;n
prístupy;14;n
licencie;14;n
autorské;14;n
hodnoty;14;n
simulácie;14;y
majetková;14;y
dlhodobého;14;n
architektúry;14;y
komunikačných;14;y
technológia;14;y
sieťovej;14;y
počítačové;14;y
jednej;14;n
používateľského;14;y
skupiny;14;n
hľadiska;14;n
limity;14;y
popíše;14;n
spracovania;14;n
finančného;14;y
komunikácii;14;y
podnikateľských;14;y
písomnej;14;n
in;14;n
kontexte;14;n
is;14;y
podnikov;14;y
logických;14;y
javov;13;n
jednoduchých;13;n
rozpočet;13;y
sústava;13;n
algebry;13;y
algebraické;13;y
pojmu;13;n
vektory;13;y
programy;13;y
rámci;13;n
výstupov;13;n
právne;13;y
efektívne;13;n
semestra;13;n
pracujú;13;n
úspešne;13;n
problematiku;13;n
objektové;13;y
pole;13;y
základnú;13;n
počítači;13;y
reprezentácia;13;y
úlohu;13;n
plán;13;y
overiť;13;n
ipv;13;y
l;13;n
laboratóriu;13;n
dôsledky;13;n
rozhraním;13;y
riadok;13;n
pomenovať;13;n
zhodnotiť;13;n
sieťová;13;y
dodržiavanie;13;n
základným;13;n
vypočítať;13;n
konvergencia;13;y
derivácií;13;y
týchto;13;n
technické;13;y
pojmov;13;n
diferenciálnych;13;y
sociálne;13;y
hodnotenie;13;n
b;13;n
online;13;y
prác;13;n
tematických;13;n
okruhoch;13;n
príslušnú;13;n
akademickom;13;n
rozpoznáva;13;n
nahrávkach;13;n
výklade;13;n
inštruktážnych;13;n
videách;13;n
diskutuje;13;n
porozumieť;13;n
odborným;13;n
týkajúcim;13;n
zosumarizovať;13;n
zadaní;13;n
tabuliek;13;y
knižnice;13;y
dátový;13;y
jazyk;13;y
číslicových;13;y
hraníc;13;n
optimalizačné;13;y
špecifikácia;13;n
obvodov;13;y
testov;13;y
politika;12;y
poznatkov;12;n
pokročilých;12;n
vektorového;12;y
polynómy;12;y
determinantu;12;y
objektovo;12;y
atribúty;12;y
konštruktory;12;y
životný;12;n
postupnosť;12;y
asociácia;12;y
technológií;12;y
predmetov;12;n
nerovnice;12;y
prehĺbenie;12;n
pokrývajú;12;n
preťažovanie;12;y
literál;12;n
alternatívne;12;n
plánovania;12;y
programu;12;y
ošetrovanie;12;y
moderných;12;n
tieto;12;n
výnosy;12;n
veľkosti;12;n
internetu;12;y
ethernet;12;y
icmpv;12;y
náhodná;12;y
procesora;12;y
výnimiek;12;y
používanie;12;n
porovnať;12;n
ponuky;12;n
pomoci;12;n
založeného;12;n
integrály;12;y
spojitých;12;n
niektoré;12;n
určitý;12;n
aktívna;12;n
tlačiarni;12;y
realizáciu;12;n
diskusia;12;y
procesom;12;y
komplexnej;12;n
použiť;12;n
použitia;12;n
finančné;12;y
kapitálu;12;y
plánovanie;12;y
softvérové;12;y
žilina;12;n
business;12;y
tenses;12;y
tém;12;n
studio;12;n
geografických;12;y
geoserver;12;y
dml;12;y
skúsenosť;12;n
java;12;y
rastrových;12;y
office;12;y
libreoffice;12;y
latex;12;y
textov;12;n
kreslenie;12;y
sadzba;12;y
aritmetika;11;y
vektorov;11;y
závislosť;11;y
koncepty;11;n
počítanie;11;y
orientované;11;n
navrhnuté;11;n
súvislosť;11;n
dôrazom;11;n
údajové;11;y
náhodných;11;y
generiká;11;y
prezentácia;11;y
tcpip;11;y
mechanizmy;11;n
zabezpečenie;11;y
súborov;11;y
prevádzky;11;n
atď;11;n
premenná;11;y
reálna;11;n
grafického;11;y
operačný;11;y
open;11;y
source;11;y
vykonať;11;n
automatizácia;11;y
diferenciálneho;11;y
určitého;11;y
integrálu;11;y
druhov;11;n
spôsob;11;n
zákon;11;n
numerické;11;y
časových;11;n
charakteristika;11;y
druhy;11;n
kontrola;11;y
sociálnej;11;y
manažéra;11;y
marketing;11;y
kľúčové;11;n
nástrojov;11;n
populárnovedeckých;11;y
texty;11;n
parts;11;n
speech;11;y
collocations;11;n
countable;11;n
uncountable;11;n
nouns;11;n
história;11;y
myslenie;11;n
rozdiely;11;n
procedúry;11;y
problém;11;n
moduly;11;n
zamestnancov;11;n
identifikuje;10;n
fungovania;10;n
nájde;10;n
matematiky;10;y
aspekty;10;n
pokrýva;10;n
nasledujúce;10;n
alokácia;10;y
časová;10;n
riadiacich;10;y
logické;10;y
cykly;10;y
diskrétne;10;y
udalostí;10;n
hodnota;10;n
ďalšie;10;n
štruktúru;10;n
balíčkov;10;y
manažérske;10;y
majetok;10;y
sieť;10;y
typu;10;n
zabezpečenia;10;y
wifi;10;y
prideľovanie;10;n
dns;10;y
použitiu;10;n
zadanú;10;n
príkazový;10;y
forme;10;n
pohybu;10;y
grafickým;10;y
činností;10;n
služieb;10;n
kritérium;10;n
účasť;10;n
obsluhy;10;n
modelovania;10;y
vstavaných;10;y
pripojenie;10;y
podsystém;10;y
komplexných;10;y
účtovníctva;10;y
účtovné;10;y
finančný;10;y
podporu;10;n
it;10;y
kvality;10;y
výpočtové;10;y
rovine;10;n
výrazov;10;n
vybranú;10;n
university;10;n
presentations;10;y
prefixes;10;n
numbers;10;y
graphs;10;y
sociologického;10;y
myslenia;10;n
poznania;10;n
kultúra;10;y
život;10;n
koncepčné;10;n
prednesenie;10;y
diskusie;10;y
e;10;n
fx;10;n
dobre;10;n
mať;10;n
odovzdávanie;10;n
pamäti;10;y
implicitné;10;y
agregácia;10;y
virtuálne;10;y
svoje;10;n
zadanej;10;n
prieskum;10;n
možné;10;n
textu;10;n
manažmente;10;y
